ProductId,UserId,Predicted_Sentiment,Sentiment_Label
B001E4KFG0,A3SGXH7AUHU8GW,1,Positive
B00813GRG4,A1D87F6ZCVE5NK,1,Positive
B000LQOCH0,ABXLMWJIXXAIN,1,Positive
B000UA0QIQ,A395BORC6FGVXV,0,Negative
B006K2ZZ7K,A1UQRSCLF8GW1T,1,Positive
B006K2ZZ7K,ADT0SRK1MGOEU,1,Positive
B006K2ZZ7K,A1SP2KVKFXXRU1,1,Positive
B006K2ZZ7K,A3JRGQVEQN31IQ,1,Positive
B000E7L2R4,A1MZYO9TZK0BBI,1,Positive
B00171APVA,A21BT40VZCCYT4,1,Positive
B0001PB9FE,A3HDKO7OW0QNK4,1,Positive
B0009XLVG0,A2725IB4YY9JEB,1,Positive
B0009XLVG0,A327PCT23YH90,1,Positive
B001GVISJM,A18ECVX2RJ7HUE,1,Positive
B001GVISJM,A2MUGFV2TDQ47K,1,Positive
B001GVISJM,A1CZX3CP8IKQIJ,1,Positive
B001GVISJM,A3KLWF6WQ5BNYO,1,Positive
B001GVISJM,AFKW14U97Z6QO,1,Positive
B001GVISJM,A2A9X58G2GTBLP,1,Positive
B001GVISJM,A3IV7CL2C13K2U,1,Positive
B001GVISJM,A1WO0KGLPR5PV6,1,Positive
B001GVISJM,AZOF9E17RGZH8,1,Positive
B001GVISJM,ARYVQL4N737A1,1,Positive
B001GVISJM,AJ613OLZZUG7V,1,Positive
B001GVISJM,A22P2J09NJ9HKE,1,Positive
B001GVISJM,A3FONPR03H3PJS,0,Negative
B001GVISJM,A3RXAU2N8KV45G,1,Positive
B001GVISJM,AAAS38B98HMIK,1,Positive
B00144C10S,A2F4LZVGFLD1OB,1,Positive
B0001PB9FY,A3HDKO7OW0QNK4,1,Positive
B003F6UO7K,AFM0O9480F04W,1,Positive
B003F6UO7K,A31OQO709M20Y7,1,Positive
B001EO5QW8,AOVROBZ8BNTP7,1,Positive
B001EO5QW8,A3PMM0NFVEJGK9,1,Positive
B001EO5QW8,A2EB6OGOWCRU5H,1,Positive
B001EO5QW8,A2CI0RLADCRKPF,1,Positive
B001EO5QW8,A1MYS9LFFBIYKM,1,Positive
B001EO5QW8,A3MGP2E1ZZ6GRB,1,Positive
B001EO5QW8,A2GHZ2UTV2B0CD,1,Positive
B001EO5QW8,AO80AC8313NIZ,1,Positive
B001EO5QW8,AQCY5KRO7489S,1,Positive
B001EO5QW8,A1WK4ALVZDYPUE,1,Positive
B001EO5QW8,A16XFOYQSJREL7,1,Positive
B001EO5QW8,A17DW6SUOC70DJ,1,Positive
B001EO5QW8,A2G7B7FKP2O2PU,1,Positive
B001EO5QW8,A39Z97950MCTQE,0,Negative
B001EO5QW8,AQLL2R1PPR46X,1,Positive
B001EO5QW8,A26AY1TFK8BQXQ,0,Negative
B001EO5QW8,ALOR97KTZTK1P,0,Negative
B001EO5QW8,A276999Y6VRSCQ,0,Negative
B001EO5QW8,A108P30XVUFKXY,1,Positive
B000G6RPMY,A3S5KJDA6ED2PS,1,Positive
B000G6RPMY,A9L6L5H9BPEBO,1,Positive
B000G6RPMY,AQ9DWWYP2KJCQ,1,Positive
B002GWHC0G,A1ND7WC5LXOU48,1,Positive
B002GWHC0G,A2EFAW1P3DRXWO,1,Positive
B004N5KULM,A202WR509428VF,1,Positive
B004N5KULM,ASCNNAJU6SXF8,1,Positive
B004N5KULM,A2A7KXM9B4XW90,1,Positive
B004N5KULM,A2QOGOXPOVKAJG,1,Positive
B004N5KULM,A1ZR8O62VSU4OK,1,Positive
B004N5KULM,A7ZK2A3VIW7X9,1,Positive
B001EO5TPM,A1E09XGZUR78C6,0,Negative
B005DUM9UQ,A3HR0ZZOFKQ97N,1,Positive
B005DUM9UQ,A2XIHNXODNZGV4,1,Positive
B005DUM9UQ,A3TWF9DQ6MU87E,1,Positive
B005DUM9UQ,AEFIZIJ1FK1BK,1,Positive
B005DUM9UQ,A8OFFIAL6XTOH,0,Negative
B000E7VI7S,A1KL2LAW08X6UQ,1,Positive
B000E7VI7S,AWCBF2ZWIN57F,1,Positive
B001GVISJC,A27TKQHFW0FB5N,1,Positive
B001GVISJC,A3BDOAPSF96WGQ,1,Positive
B006SQBRMA,ATYMT48R62ENE,1,Positive
B0059WXJKM,A25VFHVGI4CFTP,0,Negative
B001EPPI84,A3Q0IDQ03S0158,0,Negative
B001EPPI84,A27TZ4WBU7N0YF,1,Positive
B004X2KR36,A2W3ABLWMJ84NS,1,Positive
B004X2KR36,A26M5O53PHZTKN,1,Positive
B004X2KR36,A2AB7M9UCNBVN7,1,Positive
B005R8JE8O,A3H1EQD2PBC085,1,Positive
B0066DMI6Y,AB30HQTI5VOLR,1,Positive
B0066DMI6Y,AZLONLC8OZPEC,1,Positive
B003ZFRKGO,A2VOZX7YBT0D6D,1,Positive
B0019CW0HE,A1FD9E5C06UB6B,1,Positive
B0019CW0HE,AK2CXHH9VRZ2A,1,Positive
B0019CW0HE,A25BGFRHYHEZKK,1,Positive
B0019CW0HE,A37N9XZBB8JYOF,1,Positive
B0019CW0HE,A1T4L0Q47OZ9N,1,Positive
B0019CW0HE,A3IMXZE9FCUNOC,1,Positive
B0019CW0HE,A1EC57S6C2VLTL,1,Positive
B0019CW0HE,A1OGD72Y2Y26CF,1,Positive
B0019CW0HE,A7JWCYVPF7KCO,1,Positive
B0019CW0HE,ABG53EBZBKD23,1,Positive
B0019CW0HE,A3AF72GP4GVRY1,1,Positive
B0019CW0HE,A1DJAAKLPCJRZD,1,Positive
B0019CW0HE,A1BFNM27629VAV,1,Positive
B0019CW0HE,A18AAABCIJKC5Q,1,Positive
B0019CW0HE,A3UII2114114PI,1,Positive
B0019CW0HE,ABZ9F0D94YK45,1,Positive
B0019CW0HE,A2P6ACFZ8FTNVV,0,Negative
